Image Name,Precision,Recall,F1-Score,IoU,Accuracy,ProcessingTime,TP,FP,FN,TN
079_F.png,0.9919,0.9424,0.9665,0.9352,0.9984,0.3657,1472,12,90,63962
080_F.png,0.3696,0.2871,0.3232,0.1927,0.9848,0.4364,238,406,591,64301
081_F.png,0.0,0.0,0.0,0.0,0.99,0.4194,0,30,625,64881
082_F.png,0.0,0.0,0.0,0.0,0.9795,0.365,0,30,1312,64194
083_F.png,0.0,0.0,0.0,0.0,0.97,0.3645,0,30,1937,63569
084_F.png,0.0,0.0,0.0,0.0,0.9881,0.2868,0,30,751,64755
085_F.png,0.9782,0.5099,0.6704,0.5042,0.9609,0.2453,2606,58,2505,60367
086_F.png,0.0,0.0,0.0,0.0,0.9626,0.3895,0,0,2449,63087
087_F.png,1.0,0.0033,0.0065,0.0033,0.9768,0.7369,5,0,1521,64010
088_F.png,1.0,0.001,0.002,0.001,0.9536,0.3708,3,0,3044,62489
089_F.png,0.9602,0.9415,0.9507,0.9061,0.9997,0.3773,193,8,12,65323
